ipOwner,ipOwner_type,ipOwner_scale,ipOwner_commercial,ipOwner_country,ipOwner_region,ipOwner_country_match,ipOwner_abuse_reports,ipOwner_blacklist_flag,ipOwner_vpn_proxy_flag,ipOwner_tor_flag,ipOwner_asn,ipOwner_as_size,ipOwner_as_age,ipOwner_mobile_flag
Rusinvesttelecom Ltd,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
OnyxAponte LLC,корпоративная сеть,локальный,да,США,Нью-Йорк,да,5,нет,нет,нет,AS12345,256,10,нет
Digital Ocean Inc.,облако,международный,да,США,Калифорния,да,низкое,нет,да,нет,14061,50000,10,нет
Fibrenet Ltd,ISP,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
IPBoom Telecom LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
OOO Avia Step,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
OOO Kiss,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
KONEKT Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Kozitskiy A.M. PI,корпоративная сеть,локальный,некоммерческий,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Varyagi LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
LLC Megion-Link,корпоративная сеть,локальный,да,Россия,Ханты-Мансийский автономный округ,да,5,нет,нет,нет,AS12345,256,10,нет
Mediagrand Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
AVANT Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
LINKINTEL Ltd.,корпоративная сеть,национальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
JSC Datacenter,дата-центр,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Bi Pi Trejding Limited,корпоративная сеть,локальный,да,Великобритания,Лондон,да,0,нет,нет,нет,AS12345,256,5,нет
ARBUZ Co.Ltd,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Pvonet Ltd,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Modern Solutions LTD,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
PPPoE XDSL Links in Sovetskaya Gavan Town ATS,корпоративная сеть,локальный,да,Россия,Хабаровский край,да,0,нет,нет,нет,12345,256,5,нет
Aviva-Telecom Ltd.,ISP,национальный,да,Великобритания,Лондон,нет,5,нет,нет,нет,AS12345,256,10,нет
Private Company Center for Development Information Technology Gigabyte,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
TTC Radiotechnika LTD,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Uralnet LLC,ISP,локальный,да,Россия,Урал,да,5,нет,нет,нет,AS12345,256,10,нет
Pallada Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Static and PPPoE XDSL Links in Khabarovsk City ATS-30 Node,корпоративная сеть,локальный,да,Россия,Хабаровский край,да,5,нет,нет,нет,AS12345,256,10,нет
GUP NAO Neneckaya Kompaniya Electrosvyazi,корпоративная сеть,локальный,нет,Россия,Ненецкий автономный округ,да,0,нет,нет,нет,AS12345,256,5,нет
Danilova Irina Grigorevna,корпоративная сеть,локальный,некоммерческий,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Ion LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Telefonica de Espana Sau,ISP,национальный,да,Испания,Мадрид,да,5,нет,нет,нет,12345,10000,20,нет
Registrator LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Inetcom Carrier LLC,ISP,национальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
JSC Sevastopol Telekom,корпоративная сеть,локальный,да,Россия,Севастополь,да,5,нет,нет,нет,AS12345,256,10,нет
LADA-MEDIA Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
OKB Progress LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Arctic Telecom Limited Liability Company,ISP,национальный,да,Россия,Северный,да,5,нет,нет,нет,AS12345,256,10,нет
JSC Akado-Stolitsa,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,20485,256,15,нет
Turkcell Iletisim Hizmetleri A.S,корпоративная сеть,национальный,да,Турция,Стамбул,да,5,нет,нет,нет,9121,100000,20,да
OOO Dontel,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
PPPoE XDSL Links in Amursk Town ATS-310 Node,корпоративная сеть,локальный,да,Россия,Амурская область,да,0,нет,нет,нет,AS12345,256,5,нет
AKB Junikbank,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Alians Telecom Ltd.,ISP,национальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Beresovsky City Internet Access Service Net,ISP,локальный,да,Россия,Свердловская область,да,5,нет,нет,нет,AS12345,256,10,нет
Sozvezdiye Oriona Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
ITAR-TASS State Enterprise,госорган,национальный,нет,Россия,Москва,да,0,нет,нет,нет,AS12345,256,10,нет
Ticket 09-41917 Riss 16197 PF,ISP,национальный,да,Россия,Центральный,да,5,нет,нет,нет,12345,256,10,нет
PPPoE Pool for XDSL Links in Khabarovsk City Central Node Bras,ISP,локальный,да,Россия,Хабаровский край,да,5,нет,нет,нет,12345,256,10,нет
LLC South Networks,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
PE Safronov Anton Sergeevich,корпоративная сеть,локальный,некоммерческий,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
21 Century Telecom Ltd,корпоративная сеть,национальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
OOO Damako,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Aiconet Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Limited Company Intermedia,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
SEACOM Limited,ISP,международный,да,Южноафриканская Республика,Гаутенг,нет,низкое,нет,нет,нет,37100,1000,15,нет
Lider-Telecom LLC,ISP,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Onrela LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Vozdvizhenka Local Electrocommunication Node,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
LLC Orange Business Services,корпоративная сеть,международный,да,Франция,Иль-де-Франс,нет,5,нет,нет,нет,AS3215,1000,20,нет
Crystall Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,0,нет,нет,нет,AS12345,256,5,нет
Ru.Net Ltd.,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,1000,10,нет
OOO Art-Materija,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Yuzhniy Telecom Ltd.,ISP,локальный,да,Россия,Южный федеральный округ,да,5,нет,нет,нет,AS12345,256,10,нет
Private Networks Labs LLC,корпоративная сеть,локальный,да,США,Калифорния,да,0,нет,нет,нет,AS12345,256,5,нет
Sever-Svyaz LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Nets and Services JCS,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Zaraisk Netflow Pool,ISP,локальный,да,Россия,Московская область,да,5,нет,нет,нет,AS12345,256,10,нет
Company Internet Technologies LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
RCS Technologies FZE LLC,корпоративная сеть,международный,да,ОАЭ,Дубай,нет,0,нет,нет,нет,AS12345,256,5,нет
SAT-DV LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Intercom OOO,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Iskratelecom CJSC,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Elektranet Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Individual entrepreneur Kushkhov Azret Ali Alisakhovich,корпоративная сеть,локальный,да,Россия,Ставропольский край,да,0,нет,нет,нет,неизвестен,неизвестен,неизвестен,нет
Emirates Telecommunications Group Company (Etisalat Group) PJSC,ISP,national,yes,UAE,Dubai,yes,5,no,no,no,AS8966,100000,20,yes
Ltd. Web MAX,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Sergey Sergeev,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
iomart Hosting Limited,дата-центр,национальный,да,Великобритания,Шотландия,да,5,нет,нет,нет,AS29550,1024,18,нет
Firma Svyaz Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Freight Link OJSC,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Bridge Telecom LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Innovation Technologies Ltd,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Darinet Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
OOO RGTS Parus,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Energo-Telecom LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Alliance LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
FTTH Dynamic Pools,ISP,национальный,да,Россия,Центральный,да,5,нет,нет,нет,12345,1000,10,нет
Ctelesys Net,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
LLC DagInfoNet,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
ZAO Promresurs Upp Glavmosstroja,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Velux,корпоративная сеть,локальный,да,Дания,Северная Ютландия,да,0,нет,нет,нет,AS12345,256,10,нет
AO ElectronTelecom,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Joint Institute for Nuclear Research,госорган,национальный,нет,Россия,Московская область,да,0,нет,нет,нет,2001,256,20,нет
PJSC LK Europlan,корпоративная сеть,национальный,да,Россия,Москва,да,0,нет,нет,нет,AS20485,256,10,нет
Ruselt24 Net,ISP,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Internet-Pro LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Private Limited Company Lutacom,корпоративная сеть,локальный,да,Великобритания,Лондон,да,0,нет,нет,нет,AS12345,256,5,нет
Secure Data Systems SRL,корпоративная сеть,локальный,да,Румыния,Бухарест,нет,5,нет,нет,нет,AS12345,256,10,нет
LLC IT Telecom,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Yury Dolin,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Online Sever LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
OOO Palatin - Tur,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Internet Utilities NA LLC,корпоративная сеть,национальный,да,США,NA,да,5,нет,нет,нет,12345,256,10,нет
Vietnam Posts and Telecommunications Group,корпоративная сеть,национальный,да,Вьетнам,Ханой,да,5,нет,нет,нет,AS18403,1000,15,нет
JSC Elektrosvyaz Kaliningradskoy Oblasti,корпоративная сеть,локальный,да,Россия,Калининградская область,да,5,нет,нет,нет,AS12345,256,10,нет
S-Telecom LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Ramenskoe PPPoE Pool,ISP,локальный,да,Россия,Московская область,да,5,нет,нет,нет,AS12345,256,10,нет
OOO Tenor,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
OOO Ekspert Servis,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
OOO Rus,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
LLC Intercom,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
OOO T Telecom,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
OOO Alonta AG,корпоративная сеть,национальный,да,Швейцария,,нет,5,нет,нет,нет,AS12345,256,10,нет
Teleset LLC Nchelny Branch,корпоративная сеть,локальный,да,Россия,Татарстан,да,5,нет,нет,нет,AS12345,256,10,нет
Fiber Grid Inc,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,AS12345,256,10,нет
TVIPTel LCC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
ADSL Static Customers Kirov,ISP,локальный,да,Россия,Кировская область,да,5,нет,нет,нет,12345,256,10,нет
IP Market - FZCO,корпоративная сеть,международный,да,ОАЭ,Дубай,нет,5,нет,да,нет,AS12345,256,10,нет
Mytishi Flate Rate Pool,корпоративная сеть,локальный,да,Россия,Московская область,да,0,нет,нет,нет,AS12345,256,5,нет
Federal Post Service for Primorsky Region,госорган,локальный,нет,Россия,Приморский край,да,0,нет,нет,нет,AS12345,256,5,нет
Perm Internet Company LLC,корпоративная сеть,локальный,да,Россия,Пермский край,да,5,нет,нет,нет,AS12345,256,10,нет
ZAO Zebra,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Intronex Setevye Resheniya Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Rostelecom Sakhalin BRAS2 Dynamic Pool,ISP,национальный,да,Россия,Сахалинская область,да,нет,нет,нет,нет,12389,10000,15,нет
Gagra Telecom LLC,ISP,локальный,да,Грузия,Аджария,да,0,нет,нет,нет,202020,256,5,нет
LLC PioneerNet,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
MIR Telecom LLC,ISP,национальный,да,США,Вашингтон,да,5,нет,нет,нет,AS12345,256,10,нет
LLS Regional TeleSystems,ISP,локальный,да,Россия,Центральный,да,5,нет,нет,нет,AS12345,256,10,нет
Best CJSC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Izhcom LLC,корпоративная сеть,локальный,да,Россия,Ижевск,да,0,нет,нет,нет,AS12345,256,5,нет
OOO Torgovij Dom Molochnie Reki,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Joint Stock Company The Exhibition of Achievements of National Economy - JSC VDNH,корпоративная сеть,национальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,10,нет
Komtel LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
WorldStream B.V.,дата-центр,национальный,да,Нидерланды,Голландия,нет,5,нет,да,нет,AS200053,256,10,нет
The Infrastructure Group B.V.,дата-центр,международный,да,Нидерланды,Северный Брабант,нет,5,нет,да,нет,AS202120,256,10,нет
9 Karla Marksa STR. Tuapase Krasnodarskiy Kray Russian Federation,корпоративная сеть,локальный,да,Россия,Краснодарский край,да,0,нет,нет,нет,неизвестен,неизвестен,неизвестен,нет
Computer Communications Lab.,университет,локальный,нет,США,Калифорния,да,5,нет,нет,нет,AS12345,256,10,нет
Bobr-Telecom LLC,ISP,локальный,да,Россия,Московская область,да,5,нет,нет,нет,AS12345,256,10,нет
ZAO Danaflex,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
LLC Baxet,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
A2 Ltd,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
OOO Intekst-D,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Telewest Inet Ltd.,ISP,локальный,да,Великобритания,Северо-Запад,да,5,нет,нет,нет,AS12576,256,20,нет
19A Narodnoy Voli STR. Ekaterinburg Russia,корпоративная сеть,локальный,да,Россия,Свердловская область,да,0,нет,нет,нет,AS12345,256,5,нет
PPPoE XDSL Links in Komsomolsk-at-Amur Town ATS-273 Node,корпоративная сеть,локальный,да,Россия,Хабаровский край,да,5,нет,нет,нет,AS12345,256,10,нет
SkyTel LLC,корпоративная сеть,национальный,да,США,Невада,да,5,нет,нет,нет,AS12345,256,10,нет
Teslatel LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
KovrovTelecom Ltd.,корпоративная сеть,локальный,да,Россия,Владимирская область,да,0,нет,нет,нет,AS202020,256,5,нет
Axiom Asia Services Pte. Ltd.,корпоративная сеть,международный,да,Сингапур,,нет,0,нет,нет,нет,AS137611,256,5,нет
Vikscom Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Teneta Telekom Ltd.,корпоративная сеть,национальный,да,Великобритания,Лондон,нет,5,нет,нет,нет,AS12345,256,10,нет
Shupashkartrans-K Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Hutchison Drei Austria GmbH,корпоративная сеть,национальный,да,Австрия,Вена,да,5,нет,нет,нет,AS8400,1000,20,да
PPPoE Users Network,ISP,локальный,да,Россия,Центральный,да,5,нет,нет,нет,12345,256,10,нет
GumsNet Ltd,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Limited Company Information and Consulting Agency,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
MaximaTelecom North-West LLC,корпоративная сеть,национальный,да,Россия,Северо-Западный,да,5,нет,нет,нет,AS20485,256,10,нет
Isaev Kamil Magomedovich,корпоративная сеть,локальный,да,Россия,Дагестан,да,0,нет,нет,нет,AS12345,256,5,нет
Ticket 10-02890-2 Urf,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Oracle Corporation,корпоративная сеть,международный,да,США,Калифорния,да,5,нет,нет,нет,AS13756,10000,20,нет
Blokhin Evgeniy Aleksandrovich,корпоративная сеть,локальный,нет,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Clouvider Limited,облако,международный,да,Великобритания,Лондон,нет,5,нет,да,нет,AS20473,256,8,нет
Gibirnet Iletisim Hizmetleri Sanayi ve Ticaret Limited Sirketi,корпоративная сеть,локальный,да,Турция,Стамбул,да,5,нет,нет,нет,AS12345,256,10,нет
OOO Lakonikum,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Kombinat Svyazi Too,корпоративная сеть,локальный,да,Казахстан,Алматинская область,да,5,нет,нет,нет,12345,256,10,нет
KomTelekom OOO,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Voltaks-Aliance LLC,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Transport Telecommunication Company LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
IP Khachaturova Susanna Rafaelievna,корпоративная сеть,локальный,некоммерческий,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Static and PPPoE XDSL Links in Viazemskivillage Central Node,корпоративная сеть,локальный,да,Россия,Московская область,да,5,нет,нет,нет,AS12345,256,10,нет
RTA Svyaz Ltd.,ISP,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
UpCloud Ltd,облако,международный,да,Финляндия,Южная Финляндия,нет,5,нет,да,нет,AS199524,1024,6,нет
P2P XDSL Links in Khabarovsk City ATS-36 Node,корпоративная сеть,локальный,да,Россия,Хабаровский край,да,5,нет,нет,нет,AS12345,256,10,нет
McHost LLC,дата-центр,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Korporatsia Svyazy Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
surnet,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
LLC Zummer,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Sergei Muratov,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
OVH US LLC,дата-центр,международный,да,США,Калифорния,да,5,нет,да,нет,AS16276,10000,15,нет
Teletime Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,0,нет,нет,нет,AS12345,256,5,нет
EKMA IS LLC,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
OOO Istranet,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
NetOne Rus JSC,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,20485,256,10,нет
Trancom Ltd,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Telix LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
NEO Print Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,нет,0,нет,нет,нет,AS12345,256,5,нет
Atmospherica Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,0,нет,нет,нет,AS12345,256,5,нет
Dialog Ltd.,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
OJSC Electrosvyaz of Orenburg Region,корпоративная сеть,локальный,да,Россия,Оренбургская область,да,5,нет,нет,нет,AS12345,256,10,нет
Infanet Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
OOO Anf Kompjuters,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
OOO Kadrovoe Agenstvo Ruszem,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
OOO Fortuna,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
NTP Infoteka,дата-центр,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Kashira Flate Rate Pool,корпоративная сеть,локальный,да,Россия,Московская область,да,0,нет,нет,нет,AS12345,256,5,нет
Static and PPPoE XDSL Links in Khabarovsk City ATS-27 Node,корпоративная сеть,локальный,да,Россия,Хабаровский край,да,5,нет,нет,нет,AS12345,256,10,нет
Optima Communications LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,AS12345,256,10,нет
OOO Kompaniya UlTra Si,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Region Plus Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Magticom Ltd.,ISP,национальный,да,Грузия,Тбилиси,да,5,нет,нет,нет,43310,256,10,нет
IPHome LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Gazprom telecom LLC,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
OOO NIIR-RadioNet,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
BTCom InfoCommunications Ltd.,корпоративная сеть,национальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Terabit,дата-центр,международный,да,США,Калифорния,да,5,нет,нет,нет,AS12345,1000,10,нет
OOO Specelektromontazh,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Praktika Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Broadband Access in Far East Telecommunications Company,ISP,национальный,да,Россия,Дальний Восток,да,5,нет,нет,нет,12345,1000,10,нет
Test Labs,корпоративная сеть,локальный,некоммерческий,США,Калифорния,да,0,нет,нет,нет,AS12345,256,5,нет
Ucom CJSC,ISP,национальный,да,Армения,Ереван,да,5,нет,нет,нет,AS197199,256,10,нет
Gukovskij Netflow Pool,корпоративная сеть,локальный,нет,Россия,Ростовская область,да,0,нет,нет,нет,AS12345,256,5,нет
Avangard Users,ISP,национальный,да,Россия,Центральный,да,5,нет,нет,нет,AS12345,1000,10,нет
PPPoE XDSL Links in Komsomolsk-at-Amur Town ATS-578 Node,корпоративная сеть,локальный,да,Россия,Хабаровский край,да,0,нет,нет,нет,AS578,256,10,нет
Elektrostal Netflow Pool,корпоративная сеть,локальный,да,Россия,Московская область,да,5,нет,нет,нет,AS12345,256,10,нет
Informacionnuye Technologiyi Ltd,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Dontechsvyaz LLC,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Stupino Flate Rate Pool,дата-центр,локальный,да,Россия,Московская область,да,5,нет,нет,нет,AS12345,256,10,нет
Host4Geeks LLC,дата-центр,международный,да,США,Калифорния,да,5,нет,нет,нет,AS12345,256,10,нет
JSC Alma Telecommunications,корпоративная сеть,национальный,да,Казахстан,Алматинская область,да,5,нет,нет,нет,12345,256,10,нет
Autonomous Non-Profit Organization Vyazemsky Information Network,госорган,локальный,нет,Россия,Смоленская область,да,0,нет,нет,нет,AS12345,256,10,нет
Fastplanet LLC,дата-центр,национальный,да,США,Калифорния,да,5,нет,да,нет,12345,256,10,нет
AT&T Internet Services,ISP,национальный,да,США,Техас,да,150,нет,нет,нет,7018,100000,25,нет
JSC Globus-Telecom,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS20485,256,10,нет
Federal State Educational Institution of Higher Professional Education Russian State University of Immanuil Kant,университет,национальный,некоммерческий,Россия,Калининградская область,да,0,нет,нет,нет,AS12345,256,10,нет
TVT LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Kuban River Connection Ltd,корпоративная сеть,локальный,да,Россия,Краснодарский край,да,5,нет,нет,нет,AS12345,256,10,нет
Ecotel,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
